date,BANDHAN ,Edelweiss ,Taurus ,HDFC ,DSP ,Union ,BANK OF INDIA ,Aditya Birla Sun Life ,SBI LONG TERM EQUITY FUND ,LIC MF ,Invesco India ,JM ,Axis ,ICICI Prudential ,UTI ,quant ,Tata ,Motilal Oswal ,PGIM India ,Navi ,Mirae Asset ,Mahindra Manulife ,Groww ,Parag Parikh ,ITI ,Sundaram ,BARODA BNP PARIBAS ,Samco ,HSBC ,HSBC ,Zerodha 
2022-08-18,110.753,80.7,122.11,841.12,89.229,45.4,111.1,45.58,244.6919,111.9924,91.14,31.6978,76.6729,658.86,157.7653,255.4048,32.1943,29.7539,26.44,22.9979,34.56,21.6332,14.79,20.0236,14.8665,358.028,64.4353,,,,
2022-08-19,109.45,79.92,121.42,832.141,88.347,44.89,109.59,45.2,242.2866,110.7544,90.11,31.3134,75.7918,651.24,156.2827,254.8617,31.8339,29.3555,26.21,22.7132,34.201,21.4456,14.68,19.8731,14.7129,353.8812,63.6844,,,,
2022-08-22,107.572,78.75,120.0,820.785,86.88,44.3,107.92,44.6,239.01,109.0596,88.57,30.7328,74.4093,642.0,153.6796,249.9823,31.3552,28.8554,25.84,22.308,33.668,21.1211,14.43,19.6716,14.5203,347.7943,62.6816,,,,
2022-08-23,108.549,79.14,120.07,827.454,87.46,44.48,108.94,44.85,240.4539,110.0459,89.12,30.9322,74.7255,644.68,154.2364,251.8085,31.5806,29.0346,26.01,22.4708,33.848,21.1557,14.44,19.7421,14.6125,350.5152,63.0614,,,,
2022-08-24,108.953,79.5,120.26,828.575,87.683,44.62,109.69,44.99,241.3504,110.3606,89.5,31.0799,75.1045,646.71,155.01,253.9015,31.7041,29.0715,26.07,22.5386,33.924,21.2493,14.49,19.7535,14.668,352.032,63.2409,,,,
2022-08-25,108.804,79.35,119.79,826.332,87.588,44.58,109.63,44.87,241.932,110.1161,89.26,31.0342,74.9546,646.24,155.0092,252.4188,31.6687,29.0664,26.05,22.4741,33.816,21.2068,14.45,19.6936,14.652,352.0072,63.0516,,,,
2022-08-26,109.281,79.67,119.62,829.671,87.976,44.67,110.02,44.97,242.564,110.4683,89.51,31.0885,75.2754,647.28,155.3901,254.6355,31.8231,29.1363,26.11,22.5416,33.858,21.2727,14.49,19.7036,14.6982,353.0737,63.1756,,,,
2022-08-29,107.978,78.7,118.14,820.724,86.869,44.15,108.79,44.44,239.9283,109.1878,88.43,30.7099,74.3321,638.05,153.7467,252.9788,31.4056,28.7907,25.81,22.2552,33.408,20.9953,14.35,19.5194,14.5238,349.0272,62.3051,,,,
2022-08-30,110.167,80.5,120.41,837.036,88.588,45.14,111.32,45.45,244.3648,111.6327,90.39,31.4496,76.2211,652.05,157.2624,257.5461,32.1141,29.349,26.35,22.7461,34.123,21.4843,14.64,19.8759,14.8134,357.6436,63.8353,,,,
2022-09-01,109.737,80.19,119.87,832.435,88.192,44.84,111.5,45.07,243.5787,111.5016,89.73,31.3415,76.0456,648.24,156.7409,257.1707,31.9082,29.2626,26.19,22.5848,33.936,21.3433,14.49,19.7986,14.7137,357.3493,63.3523,,,,
2022-09-02,109.839,80.23,120.06,834.191,88.005,44.85,111.57,44.93,243.0644,111.4759,89.78,31.3068,76.2954,647.78,156.6255,259.5788,31.9228,29.1896,26.19,22.5914,33.913,21.353,14.48,19.7703,14.7342,356.5441,63.366,,,,
